"",Age,Birthplace,Residence,Arrests,Convictions,Prison,Music,Ranking
1,20,1,0,16,4,1,1,1
2,20,2,0,16,7,1,0,2
3,19,2,0,12,4,1,0,2
4,21,2,0,8,1,0,0,2
5,24,2,0,11,3,0,0,2
6,25,3,1,17,10,0,0,2
7,20,4,1,8,1,0,1,2
8,21,1,0,15,6,1,1,3
9,20,1,1,9,3,0,0,3
10,23,1,1,12,4,1,1,3
11,21,1,0,16,8,1,0,3
12,25,3,0,5,3,0,1,3
13,21,3,0,19,9,1,0,3
14,19,3,0,23,9,0,1,3
15,21,3,0,12,9,1,0,4
16,19,3,0,14,7,1,0,4
17,27,2,0,14,8,0,0,4
18,25,2,0,23,13,1,0,3
19,20,2,1,22,9,1,0,3
20,20,1,1,8,2,0,0,3
21,23,1,0,4,5,0,1,4
22,20,1,0,5,2,0,1,3
23,19,4,0,19,9,1,0,3
24,16,4,0,0,0,0,0,4
25,17,4,0,8,2,1,0,4
26,18,4,0,0,0,0,0,4
27,17,3,0,3,1,0,1,4
28,22,3,1,2,0,1,0,3
29,18,2,1,7,3,1,0,3
30,19,2,1,6,3,1,0,3
31,17,1,0,12,4,0,0,4
32,16,1,0,13,3,0,0,4
33,18,3,1,15,6,0,0,4
34,17,3,1,2,1,1,0,4
35,18,3,1,7,3,0,0,4
36,17,3,1,7,2,1,0,4
37,17,3,0,6,1,0,0,4
38,20,2,0,6,2,0,0,4
39,22,3,1,4,3,0,0,4
40,23,1,1,18,12,1,0,4
41,19,2,1,8,1,0,0,4
42,18,3,0,7,4,0,0,4
43,18,3,1,6,0,0,0,4
44,18,3,1,7,1,0,0,4
45,19,3,0,23,11,1,0,4
46,18,3,0,5,2,1,0,4
47,16,3,1,1,0,0,0,4
48,20,3,1,12,9,1,0,4
49,19,2,0,3,0,0,0,4
50,19,1,0,3,1,0,0,5
51,17,3,0,4,1,0,0,4
52,18,3,0,1,0,0,0,5
53,27,4,0,20,11,1,0,4
54,20,3,0,11,4,1,0,3
